index,title,authors,type
190,Few-shot Slot Tagging with Collapsed Dependency Transfer and Label-enhanced Task-adaptive Projection Network,"Yutai Hou, Wanxiang Che, Yongkui Lai, Zhihan Zhou, Yijia Liu, Han Liu and Ting Liu",long
191,Finding Universal Grammatical Relations in Multilingual BERT,"Ethan A. Chi, John Hewitt and Christopher D. Manning",long
192,Fine-Grained Analysis of Cross-Linguistic Syntactic Divergences,"Dmitry Nikolaev, Ofir Arviv, Taelin Karidi, Neta Kenneth, Veronika Mitnik, Lilja Maria Saeboe and Omri Abend",long
193,Fine-grained Fact Verification with Kernel Graph Attention Network,"Zhenghao Liu, Chenyan Xiong, Maosong Sun and Zhiyuan Liu",long
194,Fine-grained Interest Matching for Neural News Recommendation,"Heyuan Wang, Fangzhao Wu, Zheng Liu and Xing Xie",long
195,Fluent Response Generation for Conversational Question Answering,"Ashutosh Baheti, Alan Ritter and Kevin Small",long
196,From Arguments to Key Points: Towards Automatic Argument Summarization,"Roy Bar-Haim, Lilach Eden, Roni Friedman, Yoav Kantor, Dan Lahav and Noam Slonim",long
197,From English to Code-Switching: Transfer Learning with Strong Morphological Clues,Gustavo Aguilar and Thamar Solorio,long
198,From SPMRL to NMRL: What Did We Learn (and Unlearn) in a Decade of Parsing Morphologically-Rich Languages (MRLs)?,"Reut Tsarfaty, Dan Bareket, Stav Klein and Amit Seker",long
199,From Zero to Hero: Human-In-The-Loop Entity Linking in Low Resource Domains,"Jan-Christoph Klie, Richard Eckart de Castilho and Iryna Gurevych",long
200,Frugal Paradigm Completion,"Alexander Erdmann, Tom Kenter, Markus Becker and Christian Schallhart",long
201,Gated Convolutional Bidirectional Attention-based Model for Off-topic Spoken Response Detection,"Yefei Zha, Ruobing Li and Hui Lin",long
202,GCAN: Graph-aware Co-Attention Networks for Explainable Fake News Detection on Social Media,Yi-Ju Lu and Cheng-Te Li,long
203,Gender Bias in Multilingual Embeddings and Cross-Lingual Transfer,"Jieyu Zhao, Subhabrata Mukherjee, Saghar Hosseini, Kai-Wei Chang and Ahmed Hassan Awadallah",long
204,Gender Gap in Natural Language Processing Research: Disparities in Authorship and Citations,Saif M. Mohammad,long
205,Gender in Danger? Evaluating Speech Translation Technology on the MuST-SHE Corpus,"Luisa Bentivogli, Beatrice Savoldi, Matteo Negri, Mattia A. Di Gangi, Roldano Cattoni and Marco Turchi",long
206,Generalized Entropy Regularization or: There’s Nothing Special about Label Smoothing,"Clara Meister, Elizabeth Salesky and Ryan Cotterell",long
207,Generalizing Natural Language Analysis through Span-relation Representations,"Zhengbao Jiang, Wei Xu, Jun Araki and Graham Neubig",long
208,"Generate, Delete and Rewrite: A Three-Stage Framework for Improving Persona Consistency of Dialogue Generation","Haoyu Song, Yan Wang, Wei-Nan Zhang, Xiaojiang Liu and Ting Liu",long
209,Generating Counter Narratives against Online Hate Speech: Data and Strategies,"Serra Sinem Tekiroğlu, Yi-Ling Chung and Marco Guerini",long
210,Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang",long
211,Generating Fact Checking Explanations,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma and Isabelle Augenstein",long
212,Generating Hierarchical Explanations on Text Classification via Feature Interaction Detection,"Hanjie Chen, Guangtao Zheng and Yangfeng Ji",long
213,Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,"Xiexiong Lin, Weiyu Jian, Jianshan He, Taifeng Wang and Wei Chu",long
214,Generative Semantic Hashing Enhanced via Boltzmann Machines,"Lin Zheng, Qinliang Su, Dinghan Shen and Changyou Chen",long
215,GLUECoS: An Evaluation Benchmark for Code-Switched NLP,"Simran Khanuja, Sandipan Dandapat, Anirudh Srinivasan, Sunayana Sitaram and Monojit Choudhury",long
216,GoEmotions: A Dataset of Fine-Grained Emotions,"Dorottya Demszky, Dana Movshovitz-Attias, Jeongwoo Ko, Alan Cowen, Gaurav Nemade and Sujith Ravi",long
217,Good-Enough Compositional Data Augmentation,Jacob Andreas,long
218,Graph Neural News Recommendation with Unsupervised Preference Disentanglement,"Linmei Hu, Siyong Xu, Chen Li, Cheng Yang, Chuan Shi, Nan Duan, Xing Xie and Ming Zhou",long
219,Graph-to-Tree Learning for Solving Math Word Problems,"Jipeng Zhang, Lei Wang, Roy Ka-Wei Lee, Yi Bin, Yan Wang, Jie Shao and Ee-Peng Lim",long
220,Grounded Conversation Generation as Guided Traverses in Commonsense Knowledge Graphs,"Houyu Zhang, Zhenghao Liu, Chenyan Xiong and Zhiyuan Liu",long
221,Grounding Conversations with Improvised Dialogues,Hyundong Cho and Jonathan May,long
222,Guiding Variational Response Generator to Exploit Persona,"Bowen Wu, Mengyuan Li, Zongsheng Wang, Yifu Chen, Derek F. Wong, Qihang Feng, Junhong Huang and Baoxun Wang",long
223,Handling Rare Entities for Neural Sequence Labeling,"Yangming Li, Han Li, Kaisheng Yao and Xiaolong Li",long
224,Hard-Coded Gaussian Attention for Neural Machine Translation,"Weiqiu You, Simeng Sun and Mohit Iyyer",long
225,Harnessing the linguistic signal to predict scalar inferences,"Sebastian Schuster, Yuxing Chen and Judith Degen",long
226,Harvesting and Refining Question-Answer Pairs for Unsupervised QA,"Zhongli Li, Wenhui Wang, Li Dong, Furu Wei and Ke Xu",long
227,HAT: Hardware-Aware Transformers for Efficient Natural Language Processing,"Hanrui Wang, Zhanghao Wu, Zhijian Liu, Han Cai, Ligeng Zhu, Chuang Gan and Song Han",long
228,He said “who’s gonna take care of your children when you are at ACL?”: Reported Sexist Acts are Not Sexist,"Patricia Chiril, Véronique Moriceau, Farah Benamara, Alda Mari, Gloria Origgi and Marlène Coulomb-Gully",long
229,Heterogeneous Graph Neural Networks for Extractive Document Summarization,"Danqing Wang, Pengfei Liu, Yining Zheng, Xipeng Qiu and Xuanjing Huang",long
230,Heterogeneous Graph Transformer for Graph-to-Sequence Learning,"Shaowei Yao, Tianming Wang and Xiaojun Wan",long
231,Hierarchical Entity Typing via Multi-level Learning to Rank,"Tongfei Chen, Yunmo Chen and Benjamin Van Durme",long
232,Hierarchical Modeling for User Personality Prediction: The Role of Message-Level Attention,"Veronica Lynn, Niranjan Balasubramanian and H. Andrew Schwartz",long
233,Hierarchy-Aware Global Model for Hierarchical Text Classification,"Jie Zhou, Chunping Ma, Dingkun Long, Guangwei Xu, Ning Ding, Haoyu Zhang, Pengjun Xie and Gongshen Liu",long
234,Highway Transformer: Self-Gating Enhanced Self-Attentive Networks,"Yekun Chai, Shuo Jin and Xinwen Hou",long
235,Hiring Now: A Skill-Aware Multi-Attention Model for Job Posting Generation,"Liting Liu, Jie Liu, Wenzheng Zhang, Ziming Chi, Wenxuan Shi and Yalou Huang",long
236,History for Visual Dialog: Do we really need it?,"Shubham Agarwal, Trung Bui, Joon-Young Lee, Ioannis Konstas and Verena Rieser",long
237,Hooks in the Headline: Learning to Generate Headlines with Controlled Styles,"Di Jin, Zhijing Jin, Joey Tianyi Zhou, Lisa Orii and Peter Szolovits",long
238,How Accents Confound: Probing for Accent Information in End-to-End Speech Recognition Systems,Archiki Prasad and Preethi Jyothi,long
239,How does BERT’s attention change when you fine-tune? An analysis methodology and a case study in negation scope,Yiyun Zhao and Steven Bethard,long
240,How Does NLP Benefit Legal System: A Summary of Legal Artificial Intelligence,"Haoxi Zhong, Chaojun Xiao, Cunchao Tu, Tianyang Zhang, Zhiyuan Liu and Maosong Sun",long
241,How Does Selective Mechanism Improve Self-Attention Networks?,"Xinwei Geng, Longyue Wang, Xing Wang, Bing Qin, Ting Liu and Zhaopeng Tu",long
242,How to Ask Good Questions? Try to Leverage Paraphrases,"Xin Jia, Wenjie Zhou, Xu Sun and Yunfang Wu",long
243,Human Attention Maps for Text Classification: Do Humans and Neural Networks Focus on the Same Words?,"Cansu Sen, Thomas Hartvigsen, Biao Yin, Xiangnan Kong and Elke Rundensteiner",long
244,Hyperbolic Capsule Networks for Multi-Label Classification,"Boli Chen, Xin Huang, Lin Xiao and Liping Jing",long
245,HyperCore: Hyperbolic and Co-graph Representation for Automatic ICD Coding,"Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao, Shengping Liu and Weifeng Chong",long
246,Image-Chat: Engaging Grounded Conversations,"Kurt Shuster, Samuel Humeau, Antoine Bordes and Jason Weston",long
247,IMoJIE: Iterative Memory-Based Joint Open Information Extraction,"Keshav Kolluru, Samarth Aggarwal, Vipul Rathore, Mausam - and Soumen Chakrabarti",long
248,Improved Natural Language Generation via Loss Truncation,Daniel Kang and Tatsunori Hashimoto,long
249,Improving Adversarial Text Generation by Modeling the Distant Future,"Ruiyi Zhang, Changyou Chen, Zhe Gan, Wenlin Wang, Dinghan Shen, Guoyin Wang, Zheng Wen and Lawrence Carin",long
250,Improving Chinese Word Segmentation with Wordhood Memory Networks,"Yuanhe Tian, Yan Song, Fei Xia, Tong Zhang and Yonggang Wang",long
251,Improving Disentangled Text Representation Learning with Information-Theoretic Guidance,"Pengyu Cheng, Martin Renqiang Min, Dinghan Shen, Christopher Malon, Yizhe Zhang, Yitong Li and Lawrence Carin",long
252,Improving Disfluency Detection by Self-Training a Self-Attentive Model,Paria Jamshid Lou and Mark Johnson,long
253,Improving Event Detection via Open-domain Trigger Knowledge,"Meihan Tong, Bin Xu, Shuai Wang, Yixin Cao, Lei Hou, Juanzi Li and Jun Xie",long
254,Improving Image Captioning Evaluation by Considering Inter References Variance,"Yanzhi Yi, Hangyu Deng and Jinglu Hu",long
255,Improving Image Captioning with Better Use of Caption,"Zhan Shi, Xu Zhou, Xipeng Qiu and Xiaodan Zhu",long
256,Improving Massively Multilingual Neural Machine Translation and Zero-Shot Translation,"Biao Zhang, Philip Williams, Ivan Titov and Rico Sennrich",long
257,Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,"Apoorv Saxena, Aditay Tripathi and Partha Talukdar",long
258,Improving Multimodal Named Entity Recognition via Entity Span Detection with Unified Multimodal Transformer,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia",long
259,Improving Neural Machine Translation with Soft Template Prediction,"Jian Yang, Shuming Ma, Dongdong Zhang, Zhoujun Li and Ming Zhou",long
260,Improving Segmentation for Technical Support Problems,Kushal Chauhan and Abhirut Gupta,long
261,Improving Transformer Models by Reordering their Sublayers,"Ofir Press, Noah A. Smith and Omer Levy",long
262,Improving Truthfulness of Headline Generation,"Kazuki Matsumaru, Sho Takase and Naoaki Okazaki",long
263,In Layman’s Terms: Semi-Open Relation Extraction from Scientific Texts,"Ruben Kruiper, Julian Vincent, Jessica Chen-Burger, Marc Desmulliez and Ioannis Konstas",long
264,"In Neural Machine Translation, What Does Transfer Learning Transfer?","Alham Fikri Aji, Nikolay Bogoychev, Kenneth Heafield and Rico Sennrich",long
265,Inflecting when there’s no majority: Limitations of encoder-decoder neural networks as cognitive models for German plurals,"Kate McCurdy, Sharon Goldwater and Adam Lopez",long
266,Influence Paths for Characterizing Subject-Verb Number Agreement in LSTM Language Models,"Kaiji Lu, Piotr Mardziel, Klas Leino, Matt Fredrikson and Anupam Datta",long
267,Information-Theoretic Probing for Linguistic Structure,"Tiago Pimentel, Josef Valvoda, Rowan Hall Maudslay, Ran Zmigrod, Adina Williams and Ryan Cotterell",long
268,INFOTABS: Inference on Tables as Semi-structured Data,"Vivek Gupta, Maitrey Mehta, Pegah Nokhiz and Vivek Srikumar",long
269,Injecting Numerical Reasoning Skills into Language Models,"Mor Geva, Ankit Gupta and Jonathan Berant",long
270,INSET: Sentence Infilling with INter-SEntential Transformer,"Yichen Huang, Yizhe Zhang, Oussama Elachqar and Yu Cheng",long
271,Integrating Multimodal Information in Large Pretrained Transformers,"Wasifur Rahman, Md Kamrul Hasan, Sangwu Lee, AmirAli Bagher Zadeh, Chengfeng Mao, Louis-Philippe Morency and Ehsan Hoque",long
272,Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,"Lei Zhong, Juan Cao, Qiang Sheng, Junbo Guo and Ziang Wang",long
273,Interactive Classification by Asking Informative Questions,"Lili Yu, Howard Chen, Sida I. Wang, Tao Lei and Yoav Artzi",long
274,Interactive Construction of User-Centric Dictionary for Text Analytics,"Ryosuke Kohita, Issei Yoshida, Hiroshi Kanayama and Tetsuya Nasukawa",long
275,Interactive Machine Comprehension with Information Seeking Agents,"Xingdi Yuan, Jie Fu, Marc-Alexandre Côté, Yi Tay, Chris Pal and Adam Trischler",long
276,Intermediate-Task Transfer Learning with Pretrained Language Models: When and Why Does It Work?,"Yada Pruksachatkun, Jason Phang, Haokun Liu, Phu Mon Htut, Xiaoyi Zhang, Richard Yuanzhe Pang, Clara Vania, Katharina Kann and Samuel R. Bowman",long
277,Interpreting Pretrained Contextualized Representations via Reductions to Static Embeddings,"Rishi Bommasani, Kelly Davis and Claire Cardie",long
278,Investigating the effect of auxiliary objectives for the automated grading of learner English speech transcriptions,"Hannah Craighead, Andrew Caines, Paula Buttery and Helen Yannakoudakis",long
279,Investigating Word-Class Distributions in Word Vector Spaces,Ryohei Sasano and Anna Korhonen,long
280,iSarcasm: A Dataset of Intended Sarcasm,Silviu Oprea and Walid Magdy,long
281,"It Takes Two to Lie: One to Lie, and One to Listen","Denis Peskov, Benny Cheng, Ahmed Elgohary, Joe Barrow, Cristian Danescu-Niculescu-Mizil and Jordan Boyd-Graber",long
282,It’s Morphin’ Time! Combating Linguistic Discrimination with Inflectional Perturbations,"Samson Tan, Shafiq Joty, Min-Yen Kan and Richard Socher",long
283,Iterative Edit-Based Unsupervised Sentence Simplification,"Dhruv Kumar, Lili Mou, Lukasz Golab and Olga Vechtomova",long
284,Joint Chinese Word Segmentation and Part-of-speech Tagging via Two-way Attentions of Auto-analyzed Knowledge,"Yuanhe Tian, Yan Song, Xiang Ao, Fei Xia, Xiaojun Quan, Tong Zhang and Yonggang Wang",long
285,"Joint Diacritization, Lemmatization, Normalization, and Fine-Grained Morphological Tagging",Nasser Zalmout and Nizar Habash,long
286,Joint Modelling of Emotion and Abusive Language Detection,"Santhosh Rajamanickam, Pushkar Mishra, Helen Yannakoudakis and Ekaterina Shutova",long
287,Jointly Learning to Align and Summarize for Neural Cross-Lingual Summarization,"Yue Cao, Hui Liu and Xiaojun Wan",long
288,Jointly Masked Sequence-to-Sequence Model for Non-Autoregressive Neural Machine Translation,"Junliang Guo, Linli Xu and Enhong Chen",long
289,KdConv: A Chinese Multi-domain Dialogue Dataset Towards Multi-turn Knowledge-driven Conversation,"Hao Zhou, Chujie Zheng, Kaili Huang, Minlie Huang and Xiaoyan Zhu",long
290,KinGDOM: Knowledge-Guided DOMain adaptation for sentiment analysis,"Deepanway Ghosal, Devamanyu Hazarika, Abhinaba Roy, Navonil Majumder, Rada Mihalcea and Soujanya Poria",long
291,KLEJ: Comprehensive Benchmark for Polish Language Understanding,"Piotr Rybak, Robert Mroczkowski, Janusz Tracz and Ireneusz Gawlik",long
292,Knowledge Distillation for Multilingual Unsupervised Neural Machine Translation,"Haipeng Sun, Rui Wang, Kehai Chen, Masao Utiyama, Eiichiro Sumita and Tiejun Zhao",long
293,Knowledge Graph Embedding Compression,Mrinmaya Sachan,long
294,Knowledge Graph-Augmented Abstractive Summarization with Semantic-Driven Cloze Reward,"Luyang Huang, Lingfei Wu and Lu Wang",long
295,Language (Re)modelling: Towards Embodied Language Understanding,"Ronen Tamari, Chen Shani, Tom Hope, Miriam R L Petruck, Omri Abend and Dafna Shahaf",long
296,Language (technology) is power: The need to be explicit about NLP harms,"Su Lin Blodgett, Solon Barocas, Hal Daumé III and Hanna Wallach",long
297,Language Models as an Alternative Evaluator of Word Order Hypotheses: A Case Study in Japanese,"Tatsuki Kuribayashi, Takumi Ito, Jun Suzuki and Kentaro Inui",long
298,Language to Network: Conditional Parameter Adaptation with Natural Language Descriptions,"Tian Jin, Zhun Liu, Shengjia Yan, Alexandre Eichenberger and Louis-Philippe Morency",long
299,Large Scale Multi-Actor Generative Dialog Modeling,"Alex Boyd, Raul Puri, Mohammad Shoeybi, Mostofa Patwary and Bryan Catanzaro",long
300,Learning a Multi-Domain Curriculum for Neural Machine Translation,"Wei Wang, Ye Tian, Jiquan Ngiam, Yinfei Yang, Isaac Caswell and Zarana Parekh",long
301,Learning and Evaluating Emotion Lexicons for 91 Languages,"Sven Buechel, Susanna Rücker and Udo Hahn",long
302,Learning Architectures from an Extended Search Space for Language Modeling,"Yinqiao Li, Chi Hu, Yuhao Zhang, Nuo Xu, Yufan Jiang, Tong Xiao, Jingbo Zhu, Tongran Liu and Changliang Li",long
303,Learning Constraints for Structured Prediction Using Rectifier Networks,"Xingyuan Pan, Maitrey Mehta and Vivek Srikumar",long
304,Learning Dialog Policies from Weak Demonstrations,"Gabriel Gordon-Hall, Philip John Gorinski and Shay B. Cohen",long
305,Learning Efficient Dialogue Policy from Demonstrations through Shaping,"Huimin Wang, Baolin Peng and Kam-Fai Wong",long
306,"Learning Interpretable Relationships between Entities, Relations and Concepts via Bayesian Structure Learning on Open Domain Facts","Jingyuan Zhang, Mingming Sun, Yue Feng and Ping Li",long
307,Learning Source Phrase Representations for Neural Machine Translation,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu and Jingyi Zhang",long
308,Learning to Ask More: Semi-Autoregressive Sequential Question Generation under Dual-Graph Interaction,Zi Chai and Xiaojun Wan,long
309,Learning to Contextually Aggregate Multi-Source Supervision for Sequence Labeling,"Ouyu Lan, Xiao Huang, Bill Yuchen Lin, He Jiang, Liyuan Liu and Xiang Ren",long
310,Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks,"Yiping Song, Zequn Liu, Wei Bi, Rui Yan and Ming Zhang",long
311,Learning to Deceive with Attention-Based Explanations,"Danish Pruthi, Mansi Gupta, Bhuwan Dhingra, Graham Neubig and Zachary C. Lipton",long
312,Learning to execute instructions in a Minecraft dialogue,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier",long
313,Learning to Faithfully Rationalize by Construction,"Sarthak Jain, Sarah Wiegreffe, Yuval Pinter and Byron C. Wallace",long
314,Learning to Identify Follow-Up Questions in Conversational Question Answering,"Souvik Kundu, Qian Lin and Hwee Tou Ng",long
315,Learning to Recover from Multi-Modality Errors for Non-Autoregressive Neural Machine Translation,"Qiu Ran, Yankai Lin, Peng Li and Jie Zhou",long
316,Learning to Segment Actions from Observation and Narration,"Daniel Fried, Jean-Baptiste Alayrac, Phil Blunsom, Chris Dyer, Stephen Clark and Aida Nematzadeh",long
317,Learning to Update Natural Language Comments Based on Code Changes,"Sheena Panthaplackel, Pengyu Nie, Milos Gligoric, Junyi Jessy Li and Raymond Mooney",long
318,Learning Web-based Procedures by Reasoning over Explanations and Demonstrations in Context,"Shashank Srivastava, Oleksandr Polozov, Nebojsa Jojic and Christopher Meek",long
319,Leveraging Graph to Improve Abstractive Multi-Document Summarization,"Wei Li, Xinyan Xiao, Jiachen Liu, Hua Wu, Haifeng Wang and Junping Du",long
320,Line Graph Enhanced AMR-to-Text Generation with Mix-Order Graph Attention Networks,"Yanbin Zhao, Lu Chen, Zhi Chen, Ruisheng Cao, Su Zhu and Kai Yu",long
321,Location Attention for Extrapolation to Longer Sequences,"Yann Dubois, Gautier Dagan, Dieuwke Hupkes and Elia Bruni",long
322,Logical Natural Language Generation from Open-Domain Tables,"Wenhu Chen, Jianshu Chen, Yu Su, Zhiyu Chen and William Yang Wang",long
323,LogicalFactChecker: Leveraging Logical Operations for Fact Checking with Graph Module Network,"Wanjun Zhong, Duyu Tang, Zhangyin Feng, Nan Duan, Ming Zhou, Ming Gong, Linjun Shou, Daxin Jiang, Jiahai Wang and Jian Yin",long
324,Low-Dimensional Hyperbolic Knowledge Graph Embeddings,"Ines Chami, Adva Wolf, Da-Cheng Juan, Frederic Sala, Sujith Ravi and Christopher Ré",long
325,Low-Resource Generation of Multi-hop Reasoning Questions,"Jianxing Yu, Wei Liu, Shuang Qiu, Qinliang Su, Kai Wang, Xiaojun Quan and Jian Yin",long
326,Machine Reading of Historical Events,"Or Honovich, Lucas Torroba Hennigen, Omri Abend and Shay B. Cohen",long
327,Mapping Natural Language Instructions to Mobile UI Action Sequences,"Yang Li, Jiacong He, Xin Zhou, Yuan Zhang and Jason Baldridge",long
328,MART: Memory-Augmented Recurrent Transformer for Coherent Video Paragraph Captioning,"Jie Lei, Liwei Wang, Yelong Shen, Dong Yu, Tamara Berg and Mohit Bansal",long
329,Masked Language Model Scoring,"Julian Salazar, Davis Liang, Toan Q. Nguyen and Katrin Kirchhoff",long
330,"MATINF: A Jointly Labeled Large-Scale Dataset for Classification, Question Answering and Summarization","Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li",long
331,Max-Margin Incremental CCG Parsing,Miloš Stanojević and Mark Steedman,long
332,Measuring Forecasting Skill from Text,"Shi Zong, Alan Ritter and Eduard Hovy",long
333,Meta-Reinforced Multi-Domain State Generator for Dialogue Systems,"Yi Huang, Junlan Feng, Min Hu, Xiaoting Wu, Xiaoyu Du and Shuo Ma",long
334,MIE: A Medical Information Extractor towards Medical Dialogues,"Yuanzhe Zhang, Zhongtao Jiang, Tao Zhang, Shiwan Liu, Jiarun Cao, Kang Liu, Shengping Liu and Jun Zhao",long
335,Mind the Trade-off: Debiasing NLU Models without Degrading the In-distribution Performance,"Prasetya Ajie Utama, Nafise Sadat Moosavi and Iryna Gurevych",long
336,MIND: A Large-scale Dataset for News Recommendation,"Fangzhao Wu, Ying Qiao, Jiun-Hung Chen, Chuhan Wu, Tao Qi, Jianxun Lian, Danyang Liu, Xing Xie, Jianfeng Gao, Winnie Wu and Ming Zhou",long
337,MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,"Jiaao Chen, Zichao Yang and Diyi Yang",long
338,MLQA: Evaluating Cross-lingual Extractive Question Answering,"Patrick Lewis, Barlas Oguz, Ruty Rinott, Sebastian Riedel and Holger Schwenk",long
339,MMPE: A Multi-Modal Interface for Post-Editing Machine Translation,"Nico Herbig, Tim Düwel, Santanu Pal, Kalliopi Maria Meladaki, Mahsa Monshizadeh, Antonio Krüger and Josef van Genabith",long
340,MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,"Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang and Denny Zhou",long
341,Modeling Code-Switch Languages Using Bilingual Parallel Corpus,Grandee Lee and Haizhou Li,long
342,Modeling Morphological Typology for Unsupervised Learning of Language Morphology,"Hongzhi Xu, Jordan Kodner, Mitchell Marcus and Charles Yang",long
343,Modelling Context and Syntactical Features for Aspect-based Sentiment Analysis,Minh Hieu Phan and Philip O. Ogunbona,long
344,More Diverse Dialogue Datasets via Diversity-Informed Data Collection,"Katherine Stasaski, Grace Hui Yang and Marti A. Hearst",long
345,Moving Down the Long Tail of Word Sense Disambiguation with Gloss Informed Bi-encoders,Terra Blevins and Luke Zettlemoyer,long
346,Multi-agent Communication meets Natural Language: Synergies between Functional and Structural Language Learning,"Angeliki Lazaridou, Anna Potapenko and Olivier Tieleman",long
347,Multi-Agent Task-Oriented Dialog Policy Learning with Role-Aware Reward Decomposition,"Ryuichi Takanobu, Runze Liang and Minlie Huang",long
348,Multi-Cell Compositional LSTM for NER Domain Adaptation,Chen Jia and Yue Zhang,long
349,Multidirectional Associative Optimization of Function-Specific Word Representations,"Daniela Gerz, Ivan Vulić, Marek Rei, Roi Reichart and Anna Korhonen",long
350,Multi-Domain Dialogue Acts and Response Co-Generation,"Kai Wang, Junfeng Tian, Rui Wang, Xiaojun Quan and Jianxing Yu",long
351,Multi-Domain Named Entity Recognition with Genre-Aware and Agnostic Inference,"Jing Wang, Mayank Kulkarni and Daniel Preotiuc-Pietro",long
352,Multi-Domain Neural Machine Translation with Word-Level Adaptive Layer-wise Domain Mixing,"Haoming Jiang, Chen Liang, Chong Wang and Tuo Zhao",long
353,Multi-Granularity Interaction Network for Extractive and Abstractive Multi-Document Summarization,"Hanqi Jin, Tianming Wang and Xiaojun Wan",long
354,Multi-Hypothesis Machine Translation Evaluation,"Marina Fomicheva, Lucia Specia and Francisco Guzmán",long
355,Multi-Label and Multilingual News Framing Analysis,"Afra Feyza Akyürek, Lei Guo, Randa Elanwar, Prakash Ishwar, Margrit Betke and Derry Tanti Wijaya",long
356,Multimodal Neural Graph Memory Networks for Visual Question Answering,Mahmoud Khademi,long
357,MultiQT: Multimodal learning for real-time question tracking in speech,"Jakob D. Havtorn, Jan Latko, Joakim Edin, Lars Maaløe, Lasse Borgholt, Lorenzo Belgrano, Nicolai Jacobsen, Regitze Sdun and Željko Agić",long
358,Multiscale Collaborative Deep Models for Neural Machine Translation,"Xiangpeng Wei, Heng Yu, Yue Hu, Yue Zhang, Rongxiang Weng and Weihua Luo",long
359,Multi-Sentence Argument Linking,"Seth Ebner, Patrick Xia, Ryan Culkin, Kyle Rawlins and Benjamin Van Durme",long
360,Multi-source Meta Transfer for Low Resource Multiple-Choice Question Answering,"Ming Yan, Hao Zhang, Di Jin and Joey Tianyi Zhou",long
361,MuTual: A Dataset for Multi-Turn Dialogue Reasoning,"Leyang Cui, Yu Wu, Shujie Liu, Yue Zhang and Ming Zhou",long
362,Named Entity Recognition without Labelled Data: A Weak Supervision Approach,"Pierre Lison, Jeremy Barnes, Aliaksandr Hubin and Samia Touileb",long
363,NAT: Noise-Aware Training for Robust Neural Sequence Labeling,"Marcin Namysl, Sven Behnke and Joachim Köhler",long
364,Negative Training for Neural Dialogue Response Generation,Tianxing He and James Glass,long
365,Neighborhood Matching Network for Entity Alignment,"Yuting Wu, Xiao Liu, Yansong Feng, Zheng Wang and Dongyan Zhao",long
366,NeuInfer: Knowledge Inference on N-ary Facts,"Saiping Guan, Xiaolong Jin, Jiafeng Guo, Yuanzhuo Wang and Xueqi Cheng",long
367,Neural CRF Model for Sentence Alignment in Text Simplification,"Chao Jiang, Mounica Maddela, Wuwei Lan, Yang Zhong and Wei Xu",long
368,Neural Data-to-Text Generation via Jointly Learning the Segmentation and Correspondence,"Xiaoyu Shen, Ernie Chang, Hui Su, Cheng Niu and Dietrich Klakow",long
369,Neural Generation of Dialogue Response Timings,Matthew Roddy and Naomi Harte,long
370,Neural Mixed Counting Models for Dispersed Topic Discovery,"Jiemin Wu, Yanghui Rao, Zusheng Zhang, Haoran Xie, Qing Li, Fu Lee Wang and Ziye Chen",long
371,Neural Reranking for Dependency Parsing: An Evaluation,Bich-Ngoc Do and Ines Rehbein,long
372,Neural Syntactic Preordering for Controlled Paraphrase Generation,Tanya Goyal and Greg Durrett,long
373,Neural Topic Modeling with Bidirectional Adversarial Training,"Rui Wang, Xuemeng Hu, Deyu Zhou, Yulan He, Yuxuan Xiong, Chenchen Ye and Haiyang Xu",long
374,NILE : Natural Language Inference with Faithful Natural Language Explanations,Sawan Kumar and Partha Talukdar,long
375,Norm-Based Curriculum Learning for Neural Machine Translation,"Xuebo Liu, Houtim Lai, Derek F. Wong and Lidia S. Chao",long
376,Not All Claims are Created Equal: Choosing the Right Statistical Approach to Assess Hypotheses,"Erfan Sadeqi Azer, Daniel Khashabi, Ashish Sabharwal and Dan Roth",long
377,Null It Out: Guarding Protected Attributes by Iterative Nullspace Projection,"Shauli Ravfogel, Yanai Elazar, Hila Gonen, Michael Twiton and Yoav Goldberg",long
378,Obtaining Faithful Interpretations from Compositional Neural Networks,"Sanjay Subramanian, Ben Bogin, Nitish Gupta, Tomer Wolfson, Sameer Singh, Jonathan Berant and Matt Gardner",long
379,On Faithfulness and Factuality in Abstractive Summarization,"Joshua Maynez, Shashi Narayan, Bernd Bohnet and Ryan McDonald",long
